Id;FirstName;LastName;PassportID;DateOfBirth;PhoneNumber;Bonus
cc676a8a-2409-4660-a8cc-3c6551f49c17;Фёдор;Капустин;50623;08.06.1945 0:00:00;(956)913-60-76;3
f180bc42-9e75-4254-9102-1cdc671d0a13;Виталий;Герасимов;51612;04.10.1951 0:00:00;(904)072-11-40;2
19aaf401-d88b-46d2-9dd7-324c66850c76;Алла;Моисеева;34544;12.12.1998 0:00:00;(936)026-93-88;4
87c07424-5f0a-45f5-b232-59242952dddc;Тамара;Денисова;25713;04.09.1975 0:00:00;(918)287-38-02;10
6fdeaa62-329a-4561-85ee-1db0b261fafd;Светлана;Силина;42436;04.11.1946 0:00:00;(971)954-82-95;8
d766f1d5-5b3e-4c41-8a5d-89448832296c;Арсений;Селезнева;64616;02.05.1991 0:00:00;(933)995-74-44;8
61286d76-c08a-4747-a003-bdf4d2a9206f;Денис;Федоров;81309;01.03.1941 0:00:00;(964)623-46-87;4
198a10a3-c5f1-4c16-95a3-d152db1a2b8c;Клавдия;Ситникова;69319;19.09.1950 0:00:00;(914)152-16-40;10
cc721124-758f-4c38-a1b2-3f02e4da74d8;Тамара;Красильникова;66979;23.12.1974 0:00:00;(961)555-54-72;1
8a439456-246c-4ed3-9b1c-ec1979485091;Варвара;Носков;99966;06.07.1979 0:00:00;(958)951-55-56;5
abd20f34-a60a-4341-bda8-a385f821a7ef;Алевтина;Орлова;86956;16.09.1962 0:00:00;(930)122-87-17;2
13df17e4-8f6e-4efd-b3fb-84b0793803d2;Анатолий;Королев;42228;31.12.1946 0:00:00;(984)552-99-57;7
5a306d85-be37-40e0-a4be-971e009cb1fc;Валентина;Цветков;58330;12.09.1944 0:00:00;(953)401-98-80;7
23c94d28-513d-4d72-a32c-3ec42e83a567;Даниил;Попов;68688;23.02.1964 0:00:00;(960)572-51-79;9
97ecbd45-de7b-469c-8d08-e32394e4cb5d;Анжелика;Мартынова;79230;11.12.1971 0:00:00;(966)482-90-24;4
816a89db-aa69-4c2d-8d92-973394c8af11;Анфиса;Муравьева;91841;01.02.1963 0:00:00;(953)744-78-55;7
9e53fd05-32e9-4945-9e38-024279774a3a;Григорий;Самсонова;56756;21.03.1943 0:00:00;(926)607-14-17;1
7f0781df-d94d-4e27-a33b-9c0723ddae93;Любовь;Фадеев;62723;06.02.1975 0:00:00;(901)626-36-39;8
be96ce1b-0c94-4d7a-abfa-3a407841b26d;Юрий;Лихачева;21894;23.06.1949 0:00:00;(903)242-76-91;2
