Id;FirstName;LastName;PassportID;DateOfBirth;PhoneNumber;Bonus
eca35af5-28d9-470c-a727-abd45f61439b;Даниил;Рябов;39096;25.10.1967 17:47:16;(951)339-32-12;9
ac5ebbc5-986a-40e9-b4b2-90bd96266365;Антонида;Максимова;21990;03.03.1959 10:58:50;(928)431-52-21;3
674cdeb9-7c59-4307-b2c0-119cb7b6547b;Виталий;Исаев;42479;15.03.1995 10:30:02;(924)934-79-10;10
0e79f810-712e-4487-954c-867623b368a5;Анфиса;Александров;99495;14.08.1967 21:12:55;(911)049-87-05;1
337b7954-c528-4cc5-8ab4-ef9b4761bcf3;Владислав;Юдина;76811;05.09.1982 17:44:53;(949)962-34-23;4
10cb2af9-b35a-4347-b6a7-221530ffdcbd;Антон;Колобова;35053;13.02.1977 6:25:19;(999)311-84-00;6
0ccef76e-d736-4ca1-935f-c15737e3a207;Дарья;Аксенова;89928;28.01.1958 18:38:37;(998)630-23-27;3
13dfd30a-f85e-4584-ad6e-871cbbab891e;Елена;Гаврилов;55843;12.08.1980 7:21:05;(994)565-55-37;3
2cfba4bb-5ee3-4942-8405-57fe38545d58;Галина;Назарова;31620;03.08.1969 5:51:17;(960)026-19-42;8
932c0064-0e33-4367-bec2-98b3880ff846;Степан;Ильина;58603;25.10.1952 7:53:17;(961)639-54-22;10
